City,State,Latitude,Longitude
Albany,NY,42.6526,-73.7562
Ada,OK,34.7745,-96.6783
Alamogordo,NM,32.8995,-105.9603
Aldine,TX,29.9324,-95.3802
Alhambra,AZ,33.4984,-112.1343
Alice,TX,27.7523,-98.0697
Altamont,OR,42.2068,-121.7372
Annandale,VA,38.8304,-77.1964
Apache Junction,AZ,33.4151,-111.5496
Atascadero,CA,35.4894,-120.6707
Auburn Gresham,IL,41.7418,-87.6532
Austintown,OH,41.1017,-80.7645
Beaver Dam,WI,43.4578,-88.8373
Beverly,MA,42.5584,-70.8800
Bloomfield,NJ,40.8068,-74.1854
Boone,NC,36.2168,-81.6745
Broadview Heights,OH,41.3139,-81.6851
Brookhaven,GA,33.8584,-84.3402
Brookline,MA,42.3318,-71.1212
Cantonment,FL,30.6085,-87.3400
Carmichael,CA,38.6171,-121.3283
Carrollton,GA,33.5801,-85.0766
Charlottesville,VA,38.0293,-78.4767
Cherry Hill,VA,38.5698,-77.2669
Citrus Park,FL,28.0784,-82.5698
Cookeville,TN,36.1628,-85.5016
Cutler Ridge,FL,25.5807,-80.3467
Deltona,FL,28.9005,-81.2637
Derry,NH,42.8806,-71.3273
Downey,CA,33.9400,-118.1326
Edinburg,TX,26.3017,-98.1633
Erlanger,KY,39.0167,-84.6008
Fairfield,OH,39.3459,-84.5605
Fremont,CA,37.5483,-121.9886
Galt,CA,38.2546,-121.2999
Glen Ellyn,IL,41.8775,-88.0670
Greenfield,IN,39.7850,-85.7694
Greenville,SC,34.8526,-82.3940
Hermosa Beach,CA,33.8622,-118.3995
Hillsborough,NJ,40.4776,-74.6268
Huntington,IN,40.8831,-85.4975
Irving Park,IL,41.9534,-87.7365
Jacksonville,IL,39.7339,-90.2290
Kansas City,MO,39.0997,-94.5786
La Vergne,TN,36.0156,-86.5819
Lake Magdalene,FL,28.0742,-82.4718
Lamont,CA,35.2597,-118.9143
Lauderhill,FL,26.1404,-80.2134
Lawrence,IN,39.8387,-86.0253
Levittown,PA,40.1551,-74.8288
Lincoln,CA,38.8916,-121.2930
Lochearn,MD,39.3407,-76.7222
Lockport,NY,43.1706,-78.6903
Logan Square,IL,41.9234,-87.6992
Marysville,WA,48.0518,-122.1771
Middleburg Heights,OH,41.3614,-81.8129
Mission Hill,MA,42.3344,-71.1085
Mount Vernon,OH,40.3934,-82.4857
Nampa,ID,43.5407,-116.5635
New Albany,IN,38.2856,-85.8241
Noe Valley,CA,37.7502,-122.4337
Norco,CA,33.9311,-117.5487
Norcross,GA,33.9412,-84.2135
North Platte,NE,41.1239,-100.7654
Northport,AL,33.2290,-87.5772
Norton Shores,MI,43.1689,-86.2639
Overbrook,PA,39.9893,-75.2432
Payson,UT,40.0444,-111.7322
Pleasant Hill,CA,37.9480,-122.0608
Prospect Heights,IL,42.0953,-87.9376
Riverside,CA,33.9534,-117.3962
Rolla,MO,37.9514,-91.7713
Rosenberg,TX,29.5572,-95.8086
Roseville,MI,42.4973,-82.9371
Saint Andrews,SC,34.0430,-81.1010
Salem,VA,37.2935,-80.0548
San Pablo,CA,37.9622,-122.3455
Seagoville,TX,32.6396,-96.5383
Shelby,MI,42.6709,-83.0330
Shenandoah,LA,30.4013,-91.0009
Sierra Vista,AZ,31.5545,-110.3037
South Holland,IL,41.6009,-87.6070
Tavares,FL,28.8042,-81.7256
Taylors,SC,34.9204,-82.2962
Tempe Junction,AZ,33.4142,-111.9435
Toledo,OH,41.6639,-83.5552
Union City,GA,33.5871,-84.5424
University Park,FL,25.7465,-80.3675
Valencia,CA,34.4436,-118.6095
Wasco,IL,41.9381,-88.4045
Watsonville,CA,36.9102,-121.7569
West Bend,WI,43.4253,-88.1834
West Covina,CA,34.0686,-117.9390
West Springfield,VA,38.7726,-77.2211
West Valley City,UT,40.6916,-112.0011
Wheeling,IL,42.1392,-87.9290
Wheeling,WV,40.0640,-80.7209
Wildwood,MO,38.5828,-90.6629
Winder,GA,33.9926,-83.7202
Winnetka,CA,34.2133,-118.5720
